faculty_code,department_code,discipline_code_suggested,discipline_title,training_center_number,source_sheets,check_ok,review_comment
ФПМС,ОФХ,OFH-001,Аналитическая химия,3,2023-2024 уч.год,,
ФПМС,ОФХ,OFH-002,Аналитическая химия [выбранные дисциплины] 18 чел.,3,2021-2022 уч.год,,
ФПМС,ОФХ,OFH-003,Аналитическая химия [выбранные дисциплины] 23 чел.,3,2021-2022 уч.год,,
ФПМС,ОФХ,OFH-004,Аналитическая химия и физико-химические методы анализа,3,2025-2026 уч.год,,
ФПМС,ОФХ,OFH-005,Коллоидная химия,3,2021-2022 уч.год,,
ФПМС,ОФХ,OFH-006,Неорганическая химия,3,2023-2024 уч.год,,
ФПМС,ОФХ,OFH-007,Общая и неорганическая химия,3,2023-2024 уч.год,,
ФПМС,ОФХ,OFH-008,Общая химия,3,2025-2026 уч.год,,
ФПМС,ОФХ,OFH-009,Органическая химия,3,2023-2024 уч.год,,
ФПМС,ОФХ,OFH-010,Органическая химия [выбранные дисциплины] 21 чел.,3,2022-2023 уч.год,,
ФПМС,ОФХ,OFH-011,Органическая химия [выбранные дисциплины] 22 чел.,3,2021-2022 уч.год,,
ФПМС,ОФХ,OFH-012,Специальные главы химии,3,2021-2022 уч.год,,
ФПМС,ОФХ,OFH-013,Термодинамика и кинетика,3,2021-2022 уч.год,,
ФПМС,ОФХ,OFH-014,"Физико-химические методы исследования материалов, реагентов и углеводородных систем",3,2022-2023 уч.год,,
ФПМС,ОФХ,OFH-015,"Физико-химические методы исследования материалов, реагентов и углеводородных систем [выбранные дисциплины]",3,2021-2022 уч.год,,
ФПМС,ОФХ,OFH-016,Физическая и коллоидная химия,3,2025-2026 уч.год,,
ФПМС,ОФХ,OFH-017,Физическая химия,3,2022-2023 весна,,
ФПМС,ОФХ,OFH-018,Химия,3,2023-2024 уч.год,,
ФПМС,ОФХ,OFH-019,Химия нефти и газа,3,2022-2023 весна,,
ФПМС,ОФХ,OFH-020,Химия часть 2,3,2023-2024 уч.год (новая),,
ФПМС,ОФХ,OFH-021,Химия элементов и их соединений,3,2023-2024 уч.год,,
ФПМС,ОФХ,OFH-022,"Химия, часть 1",3,2023-2024 уч.год,,
ФПМС,ОФХ,OFH-023,"Химия, часть 2",3,2022-2023 весна,,
ФПМС,ОФХ,OFH-024,Экоаналитическая химия и физико-химические методы анализа [выбранные дисциплины] 19+16 чел.,3,2021-2022 уч.год,,
